trade_id,symbol,entry_time,exit_time,entry_index,exit_index,entry_price,exit_price,quantity,gross_pnl,net_pnl,return_pct,fees,slippage_cost,bars_held,exit_reason,entry_reason,entry_tags,entry_features,max_favorable_excursion_pct,max_adverse_excursion_pct
1,MEME,2026-04-20T00:03:00+00:00,2026-04-20T00:06:00+00:00,3,6,1.0515750000000001,1.1339974485000004,2377.3863015001302,195.95000000000027,190.75405000000026,0.07630162000000011,5.19595,195.95000000000053,3,take_profit,trend continuation after controlled pullback; liquidity is supportive; price is near a fresh high,"['trend_continuation_after_pullback', 'liquidity_support', 'price_near_high', 'positive_momentum']","{'index': 3.0, 'open': 1.04, 'high': 1.062758, 'low': 1.027416, 'close': 1.05, 'volume': 1250.0, 'liquidity': 51500.0, 'market_cap': 95275.0, 'range_pct': 0.0336590476190476, 'body_pct': 0.2829494652255111, 'upper_wick_pct': 0.3609869277347081, 'lower_wick_pct': 0.35606360703978085, 'candle_direction': 1.0, 'close_location': 0.6390130722652919, 'return_1': 0.009615384615384623, 'momentum_1': 0.010000000000000009, 'distance_to_rolling_max_1': 0.009615384615384623, 'distance_to_rolling_min_1': 0.009615384615384623, 'trend_strength_1': 0.009615384615384623, 'volatility_1': 0.0, 'volume_ratio_1': 1.0416666666666667, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.0098039215686274, 'liquidity_change_1': 0.0, 'return_3': 0.050000000000000044, 'momentum_3': 0.050000000000000044, 'distance_to_rolling_max_3': 0.009615384615384623, 'distance_to_rolling_min_3': 0.050000000000000044, 'trend_strength_3': 0.029411764705882377, 'volatility_3': 0.00019607843137254936, 'volume_ratio_3': 1.1363636363636365, 'volume_change_3': 0.09545454545454546, 'liquidity_ratio_3': 1.0198019801980198, 'liquidity_change_3': 0.00995049504950495, 'return_5': 0.0, 'momentum_5': 0.0, 'distance_to_rolling_max_5': 0.009615384615384623, 'distance_to_rolling_min_5': 0.050000000000000044, 'trend_strength_5': 0.029411764705882377, 'volatility_5': 0.00019607843137254936, 'volume_ratio_5': 1.1363636363636365, 'volume_change_5': 0.09545454545454546, 'liquidity_ratio_5': 1.0198019801980198, 'liquidity_change_5': 0.00995049504950495, 'return_10': 0.0, 'momentum_10': 0.0, 'distance_to_rolling_max_10': 0.009615384615384623, 'distance_to_rolling_min_10': 0.050000000000000044, 'trend_strength_10': 0.029411764705882377, 'volatility_10': 0.00019607843137254936, 'volume_ratio_10': 1.1363636363636365, 'volume_change_10': 0.09545454545454546, 'liquidity_ratio_10': 1.0198019801980198, 'liquidity_change_10': 0.00995049504950495}",0.10737702969355477,0.022974110263176698
2,MEME,2026-04-20T00:06:00+00:00,2026-04-20T00:11:00+00:00,6,11,1.1517249999999999,1.2419972055,2212.0632203868113,199.68782560975023,194.3927607591405,0.0763016200000001,5.29506485060975,199.6878256097501,5,take_profit,breakout above recent high on expanded volume; trend continuation after controlled pullback; volume expansion,"['momentum_breakout', 'trend_continuation_after_pullback', 'volume_spike', 'liquidity_support', 'price_near_high', 'positive_momentum']","{'index': 6.0, 'open': 1.11, 'high': 1.16449, 'low': 1.096236, 'close': 1.15, 'volume': 1800.0, 'liquidity': 54000.0, 'market_cap': 99900.0, 'range_pct': 0.05935130434782612, 'body_pct': 0.5860462390482578, 'upper_wick_pct': 0.21229525009523406, 'lower_wick_pct': 0.20165851085650807, 'candle_direction': 1.0, 'close_location': 0.7877047499047659, 'return_1': 0.03603603603603586, 'momentum_1': 0.039999999999999813, 'distance_to_rolling_max_1': 0.03603603603603586, 'distance_to_rolling_min_1': 0.03603603603603586, 'trend_strength_1': 0.03603603603603586, 'volatility_1': 0.0, 'volume_ratio_1': 1.125, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.0188679245283019, 'liquidity_change_1': 0.0, 'return_3': 0.09523809523809511, 'momentum_3': 0.09999999999999987, 'distance_to_rolling_max_3': 0.03603603603603586, 'distance_to_rolling_min_3': 0.09523809523809511, 'trend_strength_3': 0.06481481481481466, 'volatility_3': 0.00039682539682539715, 'volume_ratio_3': 1.2705882352941176, 'volume_change_3': 0.13142857142857142, 'liquidity_ratio_3': 1.0351437699680512, 'liquidity_change_3': 0.01446975354742345, 'return_5': 0.12745098039215674, 'momentum_5': 0.1299999999999999, 'distance_to_rolling_max_5': 0.03603603603603586, 'distance_to_rolling_min_5': 0.12745098039215674, 'trend_strength_5': 0.08490566037735835, 'volatility_5': 0.007651702966531881, 'volume_ratio_5': 1.3740458015267176, 'volume_change_5': 0.0988582251082251, 'liquidity_ratio_5': 1.0465116279069768, 'liquidity_change_5': 0.012161104690621063, 'return_10': 0.0, 'momentum_10': 0.0, 'distance_to_rolling_max_10': 0.03603603603603586, 'distance_to_rolling_min_10': 0.1499999999999999, 'trend_strength_10': 0.09523809523809511, 'volatility_10': 0.006866539656087365, 'volume_ratio_10': 1.4304635761589404, 'volume_change_10': 0.09908658008658008, 'liquidity_ratio_10': 1.051948051948052, 'liquidity_change_10': 0.01172888375249685}",0.08980355553626101,0.0481790357941348
3,MEME,2026-04-20T00:14:00+00:00,2026-04-20T00:15:00+00:00,14,15,1.3520250000000003,1.2959970840000004,1920.2948929862866,-107.59012095946446,-112.67510424388456,-0.04339855999999991,5.084983284420105,107.59012095946447,1,stop_loss,breakout above recent high on expanded volume; volume expansion; liquidity is supportive,"['momentum_breakout', 'volume_spike', 'liquidity_support', 'high_volatility_entry', 'price_near_high', 'positive_momentum']","{'index': 14.0, 'open': 1.31, 'high': 1.37781, 'low': 1.283276, 'close': 1.35, 'volume': 3000.0, 'liquidity': 49000.0, 'market_cap': 90650.0, 'range_pct': 0.07002518518518511, 'body_pct': 0.4231281866841568, 'upper_wick_pct': 0.2941798717921586, 'lower_wick_pct': 0.2826919415236846, 'candle_direction': 1.0, 'close_location': 0.7058201282078413, 'return_1': 0.030534351145038195, 'momentum_1': 0.040000000000000036, 'distance_to_rolling_max_1': 0.030534351145038195, 'distance_to_rolling_min_1': 0.030534351145038195, 'trend_strength_1': 0.030534351145038195, 'volatility_1': 0.0, 'volume_ratio_1': 1.25, 'volume_change_1': 0.0, 'liquidity_ratio_1': 0.98, 'liquidity_change_1': 0.0, 'return_3': 0.09756097560975618, 'momentum_3': 0.1200000000000001, 'distance_to_rolling_max_3': 0.030534351145038195, 'distance_to_rolling_min_3': 0.09756097560975618, 'trend_strength_3': 0.06299212598425202, 'volatility_3': 0.0005121311055630261, 'volume_ratio_3': 1.5, 'volume_change_3': 0.225, 'liquidity_ratio_3': 0.9639344262295082, 'liquidity_change_3': -0.014658290500666285, 'return_5': 0.1250000000000001, 'momentum_5': 0.15000000000000013, 'distance_to_rolling_max_5': 0.030534351145038195, 'distance_to_rolling_min_5': 0.1250000000000001, 'trend_strength_5': 0.08695652173913052, 'volatility_5': 0.013168088258092743, 'volume_ratio_5': 1.530612244897959, 'volume_change_5': 0.04221014492753623, 'liquidity_ratio_5': 0.9404990403071017, 'liquidity_change_5': -0.027590134261322154, 'return_10': 0.25, 'momentum_10': 0.27, 'distance_to_rolling_max_10': 0.030534351145038195, 'distance_to_rolling_min_10': 0.25, 'trend_strength_10': 0.13540790580319598, 'volatility_10': 0.017040923805829937, 'volume_ratio_10': 1.5873015873015872, 'volume_change_10': 0.07874483273033997, 'liquidity_ratio_10': 0.9257509918760627, 'liquidity_change_10': -0.0039424309094538345}",0.019370943584622848,0.06553059299939003
4,MEME,2026-04-20T00:22:00+00:00,2026-04-20T00:23:00+00:00,22,23,1.3720550000000002,1.4795966709000006,1871.7310360217434,201.28908308916698,195.95155815282018,0.07630162000000022,5.337524936346794,201.289083089167,1,take_profit,breakout above recent high on expanded volume; volume expansion; liquidity is supportive,"['momentum_breakout', 'volume_spike', 'liquidity_support', 'high_volatility_entry', 'price_near_high', 'positive_momentum']","{'index': 22.0, 'open': 1.25, 'high': 1.413566, 'low': 1.211, 'close': 1.37, 'volume': 4200.0, 'liquidity': 48000.0, 'market_cap': 88800.0, 'range_pct': 0.14785839416058394, 'body_pct': 0.5923995142323988, 'upper_wick_pct': 0.21507064364207215, 'lower_wick_pct': 0.19252984212552907, 'candle_direction': 1.0, 'close_location': 0.7849293563579278, 'return_1': 0.09600000000000009, 'momentum_1': 0.1200000000000001, 'distance_to_rolling_max_1': 0.09600000000000009, 'distance_to_rolling_min_1': 0.09600000000000009, 'trend_strength_1': 0.09600000000000009, 'volatility_1': 0.0, 'volume_ratio_1': 1.6153846153846154, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.0105263157894737, 'liquidity_change_1': 0.0, 'return_3': 0.18103448275862086, 'momentum_3': 0.2100000000000002, 'distance_to_rolling_max_3': 0.09600000000000009, 'distance_to_rolling_min_3': 0.18103448275862086, 'trend_strength_3': 0.1512605042016808, 'volatility_3': 0.0387931034482759, 'volume_ratio_3': 2.1, 'volume_change_3': 0.2847222222222222, 'liquidity_ratio_3': 1.0285714285714287, 'liquidity_change_3': 0.021802665419686697, 'return_5': 0.1416666666666668, 'momentum_5': 0.17000000000000015, 'distance_to_rolling_max_5': 0.09600000000000009, 'distance_to_rolling_min_5': 0.18103448275862086, 'trend_strength_5': 0.1512605042016808, 'volatility_5': 0.03905548073551718, 'volume_ratio_5': 2.1649484536082473, 'volume_change_5': 0.09015522875816993, 'liquidity_ratio_5': 1.032258064516129, 'liquidity_change_5': 0.005495769362484769, 'return_10': 0.07874015748031503, 'momentum_10': 0.10000000000000009, 'distance_to_rolling_max_10': 0.014814814814814828, 'distance_to_rolling_min_10': 0.18103448275862086, 'trend_strength_10': 0.10394842868654311, 'volatility_10': 0.03803109563540395, 'volume_ratio_10': 1.8666666666666667, 'volume_change_10': 0.04881739413517642, 'liquidity_ratio_10': 1.0052356020942408, 'liquidity_change_10': -0.0077227289064773}",0.1435547408813785,0.1173823206795647
5,MEME,2026-04-20T00:23:00+00:00,2026-04-20T00:24:00+00:00,23,24,1.52228,1.6415963064000003,1719.2013402048365,205.12875387117128,199.68941348496608,0.07630162000000014,5.439340386205208,205.1287538711713,1,take_profit,breakout above recent high on expanded volume; volume expansion; liquidity is supportive,"['momentum_breakout', 'volume_spike', 'liquidity_support', 'high_volatility_entry', 'price_near_high', 'positive_momentum']","{'index': 23.0, 'open': 1.37, 'high': 1.56902, 'low': 1.326845, 'close': 1.52, 'volume': 6500.0, 'liquidity': 48500.0, 'market_cap': 89725.0, 'range_pct': 0.15932565789473685, 'body_pct': 0.6193868070610091, 'upper_wick_pct': 0.20241560854753818, 'lower_wick_pct': 0.17819758439145267, 'candle_direction': 1.0, 'close_location': 0.7975843914524618, 'return_1': 0.10948905109489043, 'momentum_1': 0.1499999999999999, 'distance_to_rolling_max_1': 0.10948905109489043, 'distance_to_rolling_min_1': 0.10948905109489043, 'trend_strength_1': 0.10948905109489043, 'volatility_1': 0.0, 'volume_ratio_1': 1.5476190476190477, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.0104166666666667, 'liquidity_change_1': 0.0, 'return_3': 0.310344827586207, 'momentum_3': 0.3600000000000001, 'distance_to_rolling_max_3': 0.10948905109489043, 'distance_to_rolling_min_3': 0.310344827586207, 'trend_strength_3': 0.20634920634920637, 'volatility_3': 0.009206896551724145, 'volume_ratio_3': 2.2674418604651163, 'volume_change_3': 0.5299145299145299, 'liquidity_ratio_3': 1.0210526315789474, 'liquidity_change_3': 0.010582306830907055, 'return_5': 0.28813559322033905, 'momentum_5': 0.3400000000000001, 'distance_to_rolling_max_5': 0.10948905109489043, 'distance_to_rolling_min_5': 0.310344827586207, 'trend_strength_5': 0.24183006535947715, 'volatility_5': 0.048448688251878085, 'volume_ratio_5': 2.73109243697479, 'volume_change_5': 0.2815013826043238, 'liquidity_ratio_5': 1.0363247863247864, 'liquidity_change_5': 0.010815520352863943, 'return_10': 0.16030534351145034, 'momentum_10': 0.20999999999999996, 'distance_to_rolling_max_10': 0.10948905109489043, 'distance_to_rolling_min_10': 0.310344827586207, 'trend_strength_10': 0.2150279776179058, 'volatility_10': 0.04820625977841382, 'volume_ratio_10': 2.6315789473684212, 'volume_change_10': 0.09497124028902257, 'liquidity_ratio_10': 1.0221285563751317, 'liquidity_change_10': -0.004374489025729679}",0.13936463725464426,0.1283830832698321
6,MEME,2026-04-20T00:24:00+00:00,2026-04-20T00:25:00+00:00,24,25,1.68252,1.8143959176000002,1585.1390589938069,209.04166792840897,203.49856992140403,0.07630162000000006,5.543098007004929,209.04166792840908,1,take_profit,breakout above recent high on expanded volume; volume expansion; liquidity is supportive,"['momentum_breakout', 'volume_spike', 'liquidity_support', 'high_volatility_entry', 'price_near_high', 'positive_momentum']","{'index': 24.0, 'open': 1.52, 'high': 1.734432, 'low': 1.471968, 'close': 1.68, 'volume': 9000.0, 'liquidity': 49000.0, 'market_cap': 90650.0, 'range_pct': 0.15622857142857144, 'body_pct': 0.6096074128261396, 'upper_wick_pct': 0.20738844184345293, 'lower_wick_pct': 0.18300414533040749, 'candle_direction': 1.0, 'close_location': 0.792611558156547, 'return_1': 0.1052631578947368, 'momentum_1': 0.15999999999999992, 'distance_to_rolling_max_1': 0.1052631578947368, 'distance_to_rolling_min_1': 0.1052631578947368, 'trend_strength_1': 0.1052631578947368, 'volatility_1': 0.0, 'volume_ratio_1': 1.3846153846153846, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.0103092783505154, 'liquidity_change_1': 0.0, 'return_3': 0.344, 'momentum_3': 0.42999999999999994, 'distance_to_rolling_max_3': 0.1052631578947368, 'distance_to_rolling_min_3': 0.344, 'trend_strength_3': 0.21739130434782594, 'volatility_3': 0.006744525547445174, 'volume_ratio_3': 2.030075187969925, 'volume_change_3': 0.5815018315018315, 'liquidity_ratio_3': 1.0208333333333333, 'liquidity_change_3': 0.010471491228070175, 'return_5': 0.4482758620689656, 'momentum_5': 0.52, 'distance_to_rolling_max_5': 0.1052631578947368, 'distance_to_rolling_min_5': 0.4482758620689656, 'trend_strength_5': 0.30030959752321973, 'volatility_5': 0.042398618457809685, 'volume_ratio_5': 2.694610778443114, 'volume_change_5': 0.4331120268620269, 'liquidity_ratio_5': 1.0359408033826638, 'liquidity_change_5': 0.016137078323878437, 'return_10': 0.24444444444444433, 'momentum_10': 0.32999999999999985, 'distance_to_rolling_max_10': 0.1052631578947368, 'distance_to_rolling_min_10': 0.4482758620689656, 'trend_strength_10': 0.320754716981132, 'volatility_10': 0.05803418472363381, 'volume_ratio_10': 3.125, 'volume_change_10': 0.12804002335780565, 'liquidity_ratio_10': 1.0359408033826638, 'liquidity_change_10': -0.0009948593961000502}",0.11643368280911967,0.12514086013836392
7,MEME,2026-04-20T00:25:00+00:00,2026-04-20T00:27:00+00:00,25,27,1.8227300000000002,1.7471960688000003,1491.1165186388607,-112.62989253005071,-117.95306826155787,-0.04339855999999981,5.323175731507171,112.629892530051,2,stop_loss,breakout above recent high on expanded volume; volume expansion; liquidity is supportive,"['momentum_breakout', 'volume_spike', 'liquidity_support', 'high_volatility_entry', 'price_near_high', 'positive_momentum']","{'index': 25.0, 'open': 1.68, 'high': 1.878422, 'low': 1.627248, 'close': 1.82, 'volume': 11000.0, 'liquidity': 49500.0, 'market_cap': 91575.0, 'range_pct': 0.1380076923076923, 'body_pct': 0.5573825316314591, 'upper_wick_pct': 0.23259573044980758, 'lower_wick_pct': 0.21002173791873327, 'candle_direction': 1.0, 'close_location': 0.7674042695501924, 'return_1': 0.08333333333333341, 'momentum_1': 0.14000000000000012, 'distance_to_rolling_max_1': 0.08333333333333341, 'distance_to_rolling_min_1': 0.08333333333333341, 'trend_strength_1': 0.08333333333333341, 'volatility_1': 0.0, 'volume_ratio_1': 1.2222222222222223, 'volume_change_1': 0.0, 'liquidity_ratio_1': 1.010204081632653, 'liquidity_change_1': 0.0, 'return_3': 0.32846715328467146, 'momentum_3': 0.44999999999999996, 'distance_to_rolling_max_3': 0.08333333333333341, 'distance_to_rolling_min_3': 0.32846715328467146, 'trend_strength_3': 0.1947483588621444, 'volatility_3': 0.002112946600076819, 'volume_ratio_3': 1.6751269035532994, 'volume_change_3': 0.4661172161172161, 'liquidity_ratio_3': 1.0206185567010309, 'liquidity_change_3': 0.010362972508591065, 'return_5': 0.5689655172413794, 'momentum_5': 0.6600000000000001, 'distance_to_rolling_max_5': 0.08333333333333341, 'distance_to_rolling_min_5': 0.5689655172413794, 'trend_strength_5': 0.3037249283667623, 'volatility_5': 0.012269096411101585, 'volume_ratio_5': 2.2821576763485476, 'volume_change_5': 0.498015873015873, 'liquidity_ratio_5': 1.03125, 'liquidity_change_5': 0.01047263966974906, 'return_10': 0.4108527131782946, 'momentum_10': 0.53, 'distance_to_rolling_max_10': 0.08333333333333341, 'distance_to_rolling_min_10': 0.5689655172413794, 'trend_strength_10': 0.3946360153256706, 'volatility_10': 0.060063477843430774, 'volume_ratio_10': 3.160919540229885, 'volume_change_10': 0.17447876979655208, 'liquidity_ratio_10': 1.0465116279069768, 'liquidity_change_10': 0.0024181896723245704}",0.07554053535081984,0.10724682207458051
